lambda,a,A
650,0.3315,0.0011
652,0.3362,0.001
654,0.3423,0.001
656,0.3508,0.001
658,0.3636,0.0011
660,0.3791,0.0012
662,0.3931,0.0015
664,0.4019,0.0015
666,0.4072,0.0015
668,0.4098,0.0014
670,0.4122,0.0014
672,0.415,0.0013
674,0.4173,0.0013
676,0.4223,0.0012
678,0.427,0.0011
680,0.4318,0.0011
682,0.4381,0.001
684,0.4458,0.001
686,0.4545,0.0009
688,0.4646,0.001
690,0.476,0.0009
692,0.4903,0.0009
694,0.5071,0.0009
696,0.5244,0.001
698,0.547,0.0009
700,0.5722,0.0012
702,0.5995,0.0012
704,0.6303,0.0013
706,0.6628,0.0016
708,0.6993,0.0018
710,0.7415,0.0021
712,0.7893,0.0026
714,0.8445,0.0032
716,0.9109,0.0039
718,0.9871,0.0046
720,1.0724,0.0053
722,1.1679,0.0061
724,1.2684,0.0068
726,1.3719,0.0077
728,1.487,0.0086
730,1.6211,0.0098
732,1.7872,0.0004
734,1.9917,0.0004
736,2.2074,0.0004
738,2.3942,0.0004
740,2.5319,0.0004
742,2.6231,0.0004
744,2.6723,0.0004
746,2.7021,0.0004
748,2.7216,0.0004
750,2.7334,0.0004
752,2.7413,0.0004
754,2.7478,0.0004
756,2.7542,0.0004
758,2.7628,0.0004
760,2.771,0.0004
762,2.7733,0.0004
